2018-03-14,1,A,A,0.0,0.0,0.0,0.0
2018-03-15,1,A,A,2.5,0.04,5.0,0.3
2018-03-16,1,A,A,2.0,0.03,4.0,0.24
2018-03-22,1,A,A,7.0,0.11,14.0,0.85
2018-03-29,1,A,A,2.5,0.04,5.0,0.3
2018-04-02,1,A,A,3.0,0.05,6.0,0.36
2018-04-04,1,A,A,4.0,0.06,8.0,0.49
2018-04-07,1,A,A,4.5,0.07,9.0,0.55
2018-04-09,1,A,A,16.5,0.27,33.0,2.01
2018-04-12,1,A,A,9.5,0.15,19.0,1.16
2018-04-13,1,A,A,30.0,0.48,54.0,3.28
2018-04-14,1,A,A,90958.0,1470.49,45522.5,2769.29
2018-04-15,1,A,A,239.0,3.86,137.5,8.36
2018-04-16,1,A,A,54.5,0.88,88.0,5.35
2018-04-17,1,A,A,202.5,3.27,261.0,15.88
2018-04-18,1,A,A,17.5,0.28,18.5,1.13
2018-05-16,1,A,A,18.5,0.3,20.5,1.25
2018-05-17,1,A,A,5.5,0.09,5.0,0.3
2018-05-18,1,A,A,5.5,0.09,6.5,0.4
2018-05-31,1,A,A,22.0,0.37,12.5,0.76
