2018-03-14,2,B,B,0.0,0.0,0.0,0.0
2018-03-15,2,B,B,2.5,0.04,5.0,0.3
2018-03-16,2,B,B,2.0,0.03,4.0,0.24
2018-03-22,2,B,B,7.0,0.11,14.0,0.85
2018-03-29,2,B,B,2.5,0.04,5.0,0.3
2018-04-04,2,B,B,4.0,0.06,8.0,0.49
2018-04-07,2,B,B,4.5,0.07,9.0,0.55
2018-04-09,2,B,B,16.5,0.27,33.0,2.01
2018-04-12,2,B,B,9.5,0.15,19.0,1.16
2018-04-13,2,B,B,30.0,0.48,54.0,3.28
2018-04-14,2,B,B,91672.0,1482.03,45879.5,2791.0
2018-04-15,2,B,B,239.0,3.86,137.5,8.36
2018-04-16,2,B,B,63.0,1.02,88.5,5.38
2018-04-17,2,B,B,202.5,3.27,261.0,15.88
2018-04-18,2,B,B,17.5,0.28,18.5,1.13
2018-05-17,2,B,B,5.5,0.09,5.0,0.3
2018-05-18,2,B,B,0.5,0.01,1.0,0.06
2018-05-17,2,B,B,105.0,1.7,29.5,1.79
2018-05-18,2,A,A,5.5,0.09,6.5,0.4
2018-05-31,2,A,A,22.0,0.37,12.5,0.76
