2018-03-14,3,C,C,0.0,0.0,0.0,0.0
2018-03-15,3,C,C,2.5,0.04,5.0,0.3
2018-03-16,3,C,C,2.0,0.03,4.0,0.24
2018-03-22,3,C,C,7.0,0.11,14.0,0.85
2018-03-29,3,C,C,2.5,0.04,5.0,0.3
2018-04-02,3,C,C,3.0,0.05,6.0,0.36
2018-04-04,3,C,C,4.0,0.06,8.0,0.49
2018-04-07,3,C,C,4.5,0.07,9.0,0.55
2018-04-09,3,C,C,16.5,0.27,33.0,2.01
2018-04-12,3,C,C,9.5,0.15,19.0,1.16
2018-04-13,3,C,C,30.0,0.48,54.0,3.28
2018-04-14,3,C,C,91361.0,1477.0,45724.0,2781.54
2018-04-15,3,C,C,239.0,3.86,126.0,7.67
2018-04-16,3,C,C,63.0,1.02,88.5,5.38
2018-04-17,3,C,C,202.5,3.27,261.0,15.88
2018-04-18,3,C,C,17.5,0.28,18.5,1.13
2018-05-16,3,C,C,18.5,0.3,20.5,1.25
2018-05-17,3,C,C,5.5,0.09,5.0,0.3
2018-05-18,3,C,C,0.5,0.01,1.0,0.06
2018-05-17,3,C,C,105.0,1.7,163.5,9.95
2018-05-18,3,A,A,5.5,0.09,6.5,0.4
2018-05-31,3,A,A,22.0,0.37,12.5,0.76
